,Date,Headline,Link,target
0,Oct-29-21 11:30AM,Is Cisco Systems (CSCO) Outperforming Other Computer and Technology Stocks This Year? Zacks,https://finance.yahoo.com/news/cisco-systems-csco-outperforming-other-153003177.html,CSCO
1,Oct-28-21 09:31AM,Cisco Data Scientists Work With Nonprofit Partner Replate to Improve Food Recovery and Delivery to Communities in Need News Direct,https://finance.yahoo.com/news/cisco-data-scientists-nonprofit-partner-133107310.html,CSCO
2,05:47AM,10 Stocks To Invest In According To Game Creek Capital Insider Monkey,https://finance.yahoo.com/news/10-stocks-invest-according-game-094747981.html,CSCO
3,Oct-27-21 05:45PM,Cisco Systems (CSCO) Gains As Market Dips: What You Should Know Zacks,https://finance.yahoo.com/news/cisco-systems-csco-gains-market-214509733.html,CSCO
4,Oct-26-21 02:21PM,Facebooks Planning a Major Spending Spree. Nvidia and 8 Other Stocks That Could Benefit. Barrons.com,https://www.barrons.com/articles/facebooks-cloud-spending-boosts-arista-nvidia-stocks-51635265137?siteid=yhoof2,CSCO
5,Oct-29-21 10:08AM,"Zacks Industry Outlook Highlights: Home Depot, Lowe's, Fastenal and Builders FirstSource Zacks",https://finance.yahoo.com/news/zacks-industry-outlook-highlights-home-140802992.html,FAST
6,Oct-26-21 12:05PM,Should I Buy Fastenal Company (FAST)? Insider Monkey,https://finance.yahoo.com/news/buy-fastenal-company-fast-160543618.html,FAST
7,Oct-24-21 09:53AM,Investing in Fastenal (NASDAQ:FAST) five years ago would have delivered you a 230% gain Simply Wall St.,https://finance.yahoo.com/news/investing-fastenal-nasdaq-fast-five-135353295.html,FAST
8,Oct-19-21 05:21AM,3 Stocks Insiders Are Buying Benzinga,https://finance.yahoo.com/news/3-stocks-insiders-buying-092107704.html,FAST
9,Oct-18-21 10:43AM,This Is an Earnings Call That Smart Investors Never Miss Motley Fool,https://www.fool.com/investing/2021/10/18/this-is-an-earnings-call-that-smart-investors-neve/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,FAST
10,Oct-31-21 05:40PM,These Are The 5 Best Stocks To Buy And Watch Now Investor's Business Daily,https://www.investors.com/research/best-stocks-to-buy-now/?src=A00220,FB
11,04:13PM,This Week in Technology: Why These 10 Stocks Were in the Spotlight Insider Monkey,https://finance.yahoo.com/news/week-technology-why-10-stocks-201326342.html,FB
12,11:00AM,"ROSEN, LEADING AND LONGSTANDING INVESTOR COUNSEL, Encourages Facebook, Inc. Investors with Losses to Secure Counsel Before Important Deadline in Securities Class Action First Filed by Firm - FB PR Newswire",https://finance.yahoo.com/news/rosen-leading-longstanding-investor-counsel-150000736.html,FB
13,Oct-30-21 03:15PM,These 2 User Metrics From Facebook's Third Quarter Should Bug Shareholders Motley Fool,https://www.fool.com/investing/2021/10/30/2-worrisome-user-metrics-from-facebook-q3/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,FB
14,11:52AM,Why These 10 Stocks Trended This Week Insider Monkey,https://finance.yahoo.com/news/why-10-stocks-trended-week-155214061.html,FB
15,Oct-29-21 10:40PM,Canadian Pacific and Kansas City Southern File Merger Application With STB to Create Only Single-Line Rail Network Linking U.S.-Mexico-Canada Business Wire,https://finance.yahoo.com/news/canadian-pacific-kansas-city-southern-024000797.html,KSU
16,11:04AM,"Werner's (WERN) Q3 Earnings Miss Estimates, Increase Y/Y Zacks",https://finance.yahoo.com/news/werners-wern-q3-earnings-miss-150403955.html,KSU
17,Oct-28-21 11:11AM,"Allegiant (ALGT) Q3 Earnings Miss Estimates, Increase Y/Y Zacks",https://finance.yahoo.com/news/allegiant-algt-q3-earnings-miss-151103279.html,KSU
18,Oct-27-21 11:19AM,"Old Dominion's (ODFL) Q3 Earnings Surpass Estimates, Up Y/Y Zacks",https://finance.yahoo.com/news/old-dominions-odfl-q3-earnings-151903197.html,KSU
19,Oct-26-21 04:55AM,Kansas City Southern Is Powering Its Way Higher TheStreet.com,https://realmoney.thestreet.com/investing/kansas-city-southern-is-powering-its-way-higher-15810989?puc=yahoo&cm_ven=YAHOO,KSU
20,Oct-28-21 11:05AM,10 Stocks That Beat Profit Expectations Insider Monkey,https://finance.yahoo.com/news/10-stocks-beat-profit-expectations-150541452.html,ADP
21,Oct-27-21 09:00AM,"U.S. Wage Growth Increased by 3.3 Percent, Aligned with Pre-Pandemic Growth, While Wages for U.S. Job Switchers Increased 6.6 Percent Since September 2020 to Meet Demand for Workers PR Newswire",https://finance.yahoo.com/news/u-wage-growth-increased-3-130000146.html,ADP
